1576 MEMORY LEAK DETECTED!
At address (000001DAEFAEA390), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001DAEFAEA4D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001DAEFAEA570), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001DAEFAEA610), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001DAEFAEA6B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001DAEFAEA750), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001DAEFAF8610), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001DAEFAF8670), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001DAEFAF8730), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001DAEFAF8790), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001DAEFAF87F0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001DAEFAF8850), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001DAEFAF88B0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001DAEFAF8910), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001DAEFAF8970), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001DAEFAF89D0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001DAEFAF8A30), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001DAEFAF8A90), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001DAEFAF8AF0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001DAEFAF8B50), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001DAEFAF8BB0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001DAEFAF8C10), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001DAEFAF8C70), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001DAEFAF8CD0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001DAEFAF8D30), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001DAEFAF8D90), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001DAEFAF8DF0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001DAEFAF8E50), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001DAEFAF8EB0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001DAEFAF8F10), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001DAEFAF8F70), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001DAEFAF8FD0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001DAEFAF9030), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001DAEFAF9090), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
