5533 MEMORY LEAK DETECTED!
At address (0000029500B4CCC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000029500B4D080), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000029500B4DA80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000029500B4DBC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000029500B594E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B59560), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5AC60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5B660), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5B860), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5B8E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5B9E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5BB60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5BCE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5C760), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5D0E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5D360), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5D9E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5DCE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5E3E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5E4E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5E9E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5EDE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5F3E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5F860), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5FD60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5FEE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B604E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B606E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B60BE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B60EE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B612E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B615E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B61860), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B61E60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B62260), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B623E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B62460), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B62760), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B63060), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B63460), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B636E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B63AE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B64260), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B645E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B64760), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B64E60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B65060), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B653E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B65760), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B65960), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B65D60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B65DE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B669E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B66CE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B674E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B679E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B67BE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B67C60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B67DE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B69030), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B690A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69110), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69180), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B691F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69260), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B692D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69340), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B693B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69420), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69490), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69500), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69570), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B695E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69650), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B696C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69730), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B697A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69810), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69880), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B698F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69960), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B699D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69A40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69AB0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69B20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69C00), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69C70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69D50), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69DC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69E30), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69EA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69F10), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69F80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B69FF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6A060), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6A0D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6A140), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6A1B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6A300), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6A370), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6A3E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6A450), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6A4C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6A530), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B6A5A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
