13953 MEMORY LEAK DETECTED!
At address (000001679856B840), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000016798577060), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (00000167985770E0), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (0000016798577720), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (00000167985777E0), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (0000016798577820), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (0000016798577860), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (00000167985778E0), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (0000016798577920), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (0000016798577AA0), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (0000016798577AE0), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (0000016798577BA0), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (0000016798577CA0), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (0000016798577E20), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (0000016798577F60), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (0000016798577FE0), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (0000016798578060), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (00000167985780A0), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (0000016798578160), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (00000167985781A0), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (00000167985782A0), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (00000167985782E0), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (0000016798578420), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (0000016798578560), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (000001679859C8E0), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (000001679859CCA0), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (000001679859CCE0), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (000001679859D060), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (000001679859D0E0), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (000001679859D120), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (000001679859D3E0), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (000001679859D460), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (000001679859D4A0), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
