9210 MEMORY LEAK(S) DETECTED!
At address (00000211F3D867F0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000211F3D86850), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000211F3D868B0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000211F3D86910), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000211F3D86970), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000211F3D869D0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000211F3D86A30), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000211F3D86A90), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000211F3D86AF0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000211F3D86B50), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000211F3D86BB0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000211F3D86C10), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000211F3D86C70), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000211F3D86CD0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000211F3D86D30), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000211F3D86D90), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000211F3D86DF0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000211F3D86E50), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000211F3D86EB0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000211F3D86F10), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000211F3D86F70), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000211F3D89090), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D89300), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D893D0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D897E0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D898B0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D89980), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D89A50), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D89B20), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 81
At address (00000211F3D89CC0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D89D90), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D89E60), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D8A0D0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D8A1A0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D8A270), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D8A340), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D8A5B0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D8A820), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D8A9C0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D8AA90), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D8AB60), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D8AC30), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D8AD00), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D8ADD0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D8AEA0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D8AF70), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D8B520), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 84
At address (00000211F3D8C420), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 84
