5939 MEMORY LEAK DETECTED!
At address (000001880CA95A10), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA95BF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA95C90), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA95D30), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA95DD0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA96050), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA96370), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA96410), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA964B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA96550), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA96690), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA96730), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA967D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA96870), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA969B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA96AF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA96B90), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA96CD0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA96E10), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA97130), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA97310), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA974F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA97590), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CA97630), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CAC3FF0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC4050), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC40B0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC4110), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC41D0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC4230), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC42F0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC4350), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC43B0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC4410), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC4470), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC44D0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC4530), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC45F0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC4650), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC46B0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC4710), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC4770), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC47D0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC4830), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC48F0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC4950), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC49B0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC4A70), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC4AD0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC4B30), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC4B90), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC4BF0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC4C50), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC4CB0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC4D10), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC4D70), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC4DD0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC4E90), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC4EF0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC4F50), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC4FB0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC5010), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC5070), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC5130), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC51F0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC5250), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC52B0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC5310), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC5370), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC5430), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC5490), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC54F0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC5550), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC55B0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC5610), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC56D0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC5730), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC5790), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC57F0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC5850), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC5910), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC5970), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC5A30), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC5A90), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC5B50), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC5BB0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC5C10), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC5C70), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC5CD0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC5D30), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001880CAC5D90), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001880CAC5EB0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001880CAC9FB0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACA050), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACA0F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACA190), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACA230), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACA2D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACA370), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACA410), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACA4B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACA550), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACA5F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACA690), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACA730), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACA7D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACA870), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACA910), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACA9B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACAA50), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACAAF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACAB90), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACAC30), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACACD0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACAD70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACAE10), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACAEB0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACAF50), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACAFF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACB090), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACB130), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACB1D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACB270), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACB310), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACB3B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACB450), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACB4F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACB590), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACB630), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACB6D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACB770), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACB810), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACB8B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACB950), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACB9F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACBA90), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACBB30), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACBBD0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACBC70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACBD10), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACBDB0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACBE50), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001880CACBFC0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001880CACC050), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001880CACC0E0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
