9811 MEMORY LEAK(S) DETECTED!
At address (000002889F569040), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 55
At address (000002889F569160), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 55
At address (000002889F5691F0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 55
At address (000002889F569310), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 55
At address (000002889F569550), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 55
At address (000002889F5695E0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 55
At address (000002889F569700), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002889F569790), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002889F569820), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 55
At address (000002889F5698B0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 55
At address (000002889F5699D0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002889F569AF0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002889F569C10), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002889F569CA0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002889F569EE0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 55
At address (000002889F56A000), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002889F56A1B0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 55
At address (000002889F56A240), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 55
At address (000002889F56A360), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 88
At address (000002889F56A3F0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002889F56A480), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002889F56A750), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002889F56A870), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002889F5B01C0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 84
At address (000002889F5B09C0), Declared in file d:\libraries\desktop\snekss\sneks\src\systems\collisionsystem.cpp, line 118
At address (000002889F5B1040), Declared in file d:\libraries\desktop\snekss\sneks\src\systems\collisionsystem.cpp, line 118
At address (000002889F5B1540), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 84
At address (000002889F5B1E40), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 107
At address (000002889F5B1FD0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B2040), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B20B0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B2120), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B2190), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B2200), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B2270), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B22E0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B2350), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B23C0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B2430), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B24A0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B2510), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B2580), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B25F0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B2660), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B26D0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B2740), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B27B0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 78
At address (000002889F5B2820), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B2890), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B2900), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B2970), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B29E0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B2A50), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B2AC0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B2B30), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B2BA0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B2D60), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B2DD0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B2F20), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B3230), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B32A0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B3310), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B3380), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B33F0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B3460), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B34D0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B3540), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B35B0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B3620), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B3690), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B3700), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B3770), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B37E0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 78
At address (000002889F5B3850), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B38C0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
At address (000002889F5B3930), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 78
At address (000002889F5B39A0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 78
At address (000002889F5B3A10), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 90
